ts	name	script	perm	status	gates	wall_sec	blif_path	notes
2026-04-25T16:21:59	ss_(0, 1, 2, 6, 3, 5, 4, 7)	fast	0,0.5,1,4,1.5,3,2,6,-0,-0.5,-1,-4,-1.5,-3,-2,-6	ok	234	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 5, 4, 7).blif	
2026-04-25T16:21:59	ss_(0, 1, 2, 6, 3, 5, 7, 4)	fast	0,0.5,1,4,1.5,3,6,2,-0,-0.5,-1,-4,-1.5,-3,-6,-2	ok	244	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 5, 7, 4).blif	
2026-04-25T16:21:59	ss_(0, 1, 2, 6, 3, 7, 4, 5)	fast	0,0.5,1,4,1.5,6,2,3,-0,-0.5,-1,-4,-1.5,-6,-2,-3	ok	214	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 7, 4, 5).blif	
2026-04-25T16:22:00	ss_(0, 1, 2, 6, 3, 7, 5, 4)	fast	0,0.5,1,4,1.5,6,3,2,-0,-0.5,-1,-4,-1.5,-6,-3,-2	ok	233	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 3, 7, 5, 4).blif	
2026-04-25T16:22:00	ss_(0, 1, 2, 6, 4, 3, 5, 7)	fast	0,0.5,1,4,2,1.5,3,6,-0,-0.5,-1,-4,-2,-1.5,-3,-6	ok	205	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 3, 5, 7).blif	
2026-04-25T16:22:00	ss_(0, 1, 2, 6, 4, 3, 7, 5)	fast	0,0.5,1,4,2,1.5,6,3,-0,-0.5,-1,-4,-2,-1.5,-6,-3	ok	233	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 3, 7, 5).blif	
2026-04-25T16:22:00	ss_(0, 1, 2, 6, 4, 5, 3, 7)	fast	0,0.5,1,4,2,3,1.5,6,-0,-0.5,-1,-4,-2,-3,-1.5,-6	ok	226	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 5, 3, 7).blif	
2026-04-25T16:22:01	ss_(0, 1, 2, 6, 4, 5, 7, 3)	fast	0,0.5,1,4,2,3,6,1.5,-0,-0.5,-1,-4,-2,-3,-6,-1.5	ok	232	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 5, 7, 3).blif	
2026-04-25T16:22:01	ss_(0, 1, 2, 6, 4, 7, 3, 5)	fast	0,0.5,1,4,2,6,1.5,3,-0,-0.5,-1,-4,-2,-6,-1.5,-3	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 7, 3, 5).blif	
2026-04-25T16:22:01	ss_(0, 1, 2, 6, 4, 7, 5, 3)	fast	0,0.5,1,4,2,6,3,1.5,-0,-0.5,-1,-4,-2,-6,-3,-1.5	ok	240	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 4, 7, 5, 3).blif	
2026-04-25T16:22:01	ss_(0, 1, 2, 6, 5, 3, 4, 7)	fast	0,0.5,1,4,3,1.5,2,6,-0,-0.5,-1,-4,-3,-1.5,-2,-6	ok	218	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 3, 4, 7).blif	
2026-04-25T16:22:02	ss_(0, 1, 2, 6, 5, 3, 7, 4)	fast	0,0.5,1,4,3,1.5,6,2,-0,-0.5,-1,-4,-3,-1.5,-6,-2	ok	232	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 3, 7, 4).blif	
2026-04-25T16:22:02	ss_(0, 1, 2, 6, 5, 4, 3, 7)	fast	0,0.5,1,4,3,2,1.5,6,-0,-0.5,-1,-4,-3,-2,-1.5,-6	ok	227	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 4, 3, 7).blif	
2026-04-25T16:22:02	ss_(0, 1, 2, 6, 5, 4, 7, 3)	fast	0,0.5,1,4,3,2,6,1.5,-0,-0.5,-1,-4,-3,-2,-6,-1.5	ok	238	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 4, 7, 3).blif	
2026-04-25T16:22:02	ss_(0, 1, 2, 6, 5, 7, 3, 4)	fast	0,0.5,1,4,3,6,1.5,2,-0,-0.5,-1,-4,-3,-6,-1.5,-2	ok	232	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 7, 3, 4).blif	
2026-04-25T16:22:03	ss_(0, 1, 2, 6, 5, 7, 4, 3)	fast	0,0.5,1,4,3,6,2,1.5,-0,-0.5,-1,-4,-3,-6,-2,-1.5	ok	238	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 5, 7, 4, 3).blif	
2026-04-25T16:22:03	ss_(0, 1, 2, 6, 7, 3, 4, 5)	fast	0,0.5,1,4,6,1.5,2,3,-0,-0.5,-1,-4,-6,-1.5,-2,-3	ok	217	0.2	/Users/alanschwartz/Downloads/Projects/FP4 Mul/synth_artifacts/ss_(0, 1, 2, 6, 7, 3, 4, 5).blif	
